iter	RMSE
0	14.20597581
1	13.28480225
2	12.49358471
3	11.77540339
4	11.06698579
5	10.55065392
6	10.06084716
7	9.55934908
8	9.14924126
9	8.720709779
10	8.356551035
11	8.049208458
12	7.776374441
13	7.50802928
14	7.29259326
15	7.071163763
16	6.878593771
17	6.722447639
18	6.569820895
19	6.416794217
20	6.306123246
21	6.214097414
22	6.124151329
23	6.038940963
24	5.957485393
25	5.889972315
26	5.813398253
27	5.752819238
28	5.706283607
29	5.655016952
30	5.609422828
31	5.572306276
32	5.52956341
33	5.497257016
34	5.459586683
35	5.427758037
36	5.402415117
37	5.373215769
38	5.354279792
39	5.331554347
40	5.311924255
41	5.296199128
42	5.277421544
43	5.25992788
44	5.247187827
45	5.230829977
46	5.205219554
47	5.19185971
48	5.17701162
49	5.157846533
50	5.14164288
51	5.129134642
52	5.117040586
53	5.106487588
54	5.103167792
55	5.090248083
56	5.08080861
57	5.072827827
58	5.058207458
59	5.044500172
60	5.035613987
61	5.024339601
62	5.008502062
63	4.999936245
64	4.990794345
65	4.980175122
66	4.958178115
67	4.949571019
68	4.942706983
69	4.92571146
70	4.910664331
71	4.906768508
72	4.886426063
73	4.876475572
74	4.865869856
75	4.860340288
76	4.846491276
77	4.837621565
78	4.829476811
79	4.820659036
80	4.818355547
81	4.813550623
82	4.808009498
83	4.798328859
84	4.784006758
85	4.777678926
86	4.767571877
87	4.752068658
88	4.747434105
89	4.744226585
90	4.730291196
91	4.72602866
92	4.717503048
93	4.713285315
94	4.702175891
95	4.693831149
96	4.687451676
97	4.678863177
98	4.674596602
99	4.657380685
